outer_fold,keyword_id,surface_form,include_core,include_main,include_extended,story_local_flag,train_df,validation_df,test_df,train_group_df,validation_group_df,test_group_df,eligible_1_1_1,eligible_10_3_3,eligible_20_5_5,eligible_group_1_1_1,eligible_group_10_3_3,eligible_group_20_5_5
0,lpw_056b9c6262,谁,false,false,false,false,12,4,2,12,4,2,true,false,false,true,false,false
0,lpw_8b6ff49851,时间,false,false,false,false,11,5,2,11,5,2,true,false,false,true,false,false
0,lpw_216a478784,一只,false,false,false,false,15,1,2,14,1,2,true,false,false,true,false,false
0,lpw_fa6e73c549,那个,false,false,false,false,11,3,3,11,3,3,true,true,false,true,true,false
0,lpw_142d843e71,当,false,false,false,false,13,2,2,13,2,2,true,false,false,true,false,false
0,lpw_1940119f05,多,false,false,false,false,10,3,4,10,3,4,true,true,false,true,true,false
0,lpw_9bbfbbc76f,您,false,false,false,true,13,1,3,13,1,3,true,false,false,true,false,false
0,lpw_59cbe38d1c,我有,false,false,false,false,15,2,0,15,2,0,false,false,false,false,false,false
0,lpw_c9b87f516a,五,false,false,false,true,14,1,2,13,1,2,true,false,false,true,false,false
0,lpw_13c12b064b,下,false,false,false,false,9,1,7,9,1,7,true,false,false,true,false,false
0,lpw_c3a6e91c19,驯,false,false,false,true,13,2,2,12,2,2,true,false,false,true,false,false
0,lpw_827d018e1b,真,false,false,false,false,10,2,5,10,2,5,true,false,false,true,false,false
0,lpw_94f5404441,做,false,false,false,false,13,1,3,13,1,3,true,false,false,true,false,false
0,lpw_5ee8091a38,怎么,false,false,false,false,8,3,5,8,3,5,true,false,false,true,false,false
0,lpw_597ae23d84,长,false,false,false,false,8,3,5,8,3,5,true,false,false,true,false,false
0,lpw_bafe3b2ee7,爱,false,false,false,false,10,2,4,10,2,4,true,false,false,true,false,false
0,lpw_e49587b1da,蛇,false,false,false,true,4,1,11,4,1,5,true,false,false,true,false,false
0,lpw_33f40475f8,我在,false,false,false,false,14,1,1,14,1,1,true,false,false,true,false,false
